Order Date,Region,Category,Sales,Quantity,Profit
2014-01-03,Central,Office Supplies,16.448,2,5.5512
2014-01-04,Central,Office Supplies,11.784,3,4.2717
2014-01-04,Central,Office Supplies,272.736,3,-64.7748
2014-01-04,Central,Office Supplies,3.54,2,-5.487
2014-01-05,East,Office Supplies,19.536,3,4.884
2014-01-06,South,Office Supplies,5.48,2,1.4796
2014-01-06,South,Furniture,2573.82,9,746.4078
2014-01-06,South,Office Supplies,609.98,2,274.491
2014-01-06,South,Office Supplies,12.78,3,5.2398
2014-01-06,South,Technology,391.98,2,113.6742
2014-01-06,South,Technology,755.96,4,204.1092
2014-01-06,South,Office Supplies,31.12,4,0.3112
2014-01-06,South,Office Supplies,6.54,1,3.0084
2014-01-06,West,Office Supplies,19.44,3,9.3312
2014-01-07,Central,Furniture,76.728,3,-53.7096
2014-01-07,Central,Office Supplies,10.43,7,-18.2525
2014-01-09,Central,Office Supplies,9.344,2,1.168
2014-01-09,Central,Technology,31.2,3,9.75
2014-01-10,South,Furniture,51.94,1,21.2954
2014-01-10,South,Office Supplies,2.89,1,1.3583
2014-01-11,East,Furniture,9.94,2,3.0814
2014-01-13,South,Office Supplies,572.58,6,34.3548
2014-01-13,South,Office Supplies,5.64,3,2.7072
2014-01-13,West,Office Supplies,19.9,5,6.567
2014-01-13,East,Office Supplies,3.438,2,-2.5212
2014-01-13,West,Office Supplies,1325.85,5,238.653
2014-01-13,East,Office Supplies,37.408,7,13.0928
2014-01-13,South,Office Supplies,11.36,2,5.3392
2014-01-13,South,Furniture,545.94,6,87.3504
2014-01-13,West,Furniture,333.999,3,3.9294
2014-01-13,South,Office Supplies,50.94,3,25.47
2014-01-13,South,Technology,646.74,6,258.696
2014-01-14,East,Furniture,61.96,4,-53.2856
2014-01-15,South,Technology,149.95,5,65.978
2014-01-16,East,Office Supplies,30.072,3,10.1493
2014-01-16,East,Furniture,127.104,6,28.5984
2014-01-16,East,Technology,124.2,3,-31.05
2014-01-16,East,Office Supplies,18.588,2,-13.6312
2014-01-18,West,Office Supplies,64.864,4,6.4864
2014-01-19,West,Office Supplies,32.34,10,-23.716
2014-01-19,West,Office Supplies,56.064,4,19.6224
2014-01-19,West,Office Supplies,108.72,5,36.693
2014-01-19,West,Furniture,181.47,5,-320.597
2014-01-20,Central,Furniture,14.73,3,4.8609
2014-01-20,Central,Office Supplies,29.7,5,13.365
2014-01-20,West,Office Supplies,19.36,2,9.2928
2014-01-20,South,Office Supplies,67.194,1,-51.5154
2014-01-20,Central,Office Supplies,43.92,3,12.7368
2014-01-20,South,Furniture,38.6,4,11.58
2014-01-20,South,Office Supplies,6.63,3,1.7901
2014-01-20,Central,Office Supplies,66.58,2,15.9792
2014-01-20,South,Furniture,1067.94,3,224.2674
2014-01-20,Central,Office Supplies,19.05,5,8.9535
2014-01-20,Central,Furniture,272.94,3,30.0234
2014-01-20,Central,Office Supplies,13.98,1,4.0542
2014-01-20,South,Office Supplies,23.34,3,10.9698
2014-01-20,South,Office Supplies,22.96,7,6.6584
2014-01-20,West,Furniture,19.3,2,5.79
2014-01-20,Central,Office Supplies,247.716,4,93.5816
2014-01-20,South,Technology,699.93,7,181.9818
2014-01-21,South,Furniture,25.248,3,4.1028
2014-01-23,Central,Office Supplies,5.94,3,0.0
2014-01-23,West,Office Supplies,40.08,6,19.2384
2014-01-26,South,Office Supplies,16.68,2,8.34
2014-01-26,Central,Furniture,141.96,2,39.7488
2014-01-26,South,Technology,187.98,2,52.6344
2014-01-26,South,Furniture,12.42,3,4.4712
2014-01-26,South,Technology,155.35,13,0.0
2014-01-26,South,Office Supplies,19.44,3,9.3312
2014-01-26,South,Office Supplies,489.92,8,0.0
2014-01-26,South,Furniture,62.82,3,30.7818
2014-01-26,Central,Office Supplies,10.68,2,5.0196
2014-01-27,West,Office Supplies,57.23,1,14.3075
2014-01-27,West,Office Supplies,36.44,4,12.0252
2014-01-27,West,Furniture,333.0,3,-16.65
2014-01-28,East,Office Supplies,3.928,1,1.3257
2014-01-30,Central,Office Supplies,229.94,2,6.8982
2014-01-30,Central,Office Supplies,10.56,2,4.752
2014-01-31,West,Furniture,290.666,2,3.4196
2014-02-01,Central,Technology,468.9,6,206.316
2014-02-02,South,Office Supplies,18.336,2,-12.224
2014-02-02,South,Technology,180.96,5,13.572
